Scientific,Species,Diet.5Cat,Stratum,Replicate,SurveyID,Point,Time,Number,Distance,HSF,Remarks
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,45,CT3,15,8:50,2,15,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,D_Fragment,19,FR2,4,7:16,2,15,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,3,OT1,3,7:26,1,10,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,19,CT2,4,7:20,2,30,S,Exiting plot
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,34,OT3,4,7:27,2,30,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,30,CT2,15,8:42,1,15,H,Entering plot. Near shed used by roosting Martins. Weather: partly cloudy
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,8,OT1,8,8:03,1,30,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,16,CT2,1,6:57,1,30,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,38,CT3,8,7:48,2,30,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,39,OT3,9,8:15,1,0,S,Exiting plot
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,17,CT2,2,7:07,2,15,S,Different pair
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,19,OT2,4,7:05,2,10,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,43,OT3,13,9:01,1,30,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,23,CT2,8,7:51,1,20,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,C_Shade Tea,44,ST3,14,8:54,1,30,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,C_Shade Tea,32,ST3,2,6:59,1,30,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,43,CT3,13,8:32,1,5,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,44,CT3,14,8:40,1,10,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,18,CT2,3,7:13,1,10,S,At the junction
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,33,CT3,3,7:08,1,15,S,Entering plot
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,44,OT3,1,8:19,1,15,H,Imitating Long-tailed Shrike
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,40,OT3,10,8:26,2,15,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,31,CT3,1,6:50,1,20,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,36,OT3,6,7:48,1,30,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,31,CT3,1,6:50,1,0,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,C_Shade Tea,43,ST3,13,8:46,1,20,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,C_Shade Tea,44,ST3,14,8:54,1,20,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,C_Shade Tea,32,ST3,2,6:59,1,20,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,C_Shade Tea,2,ST1,2,6:51,1,20,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,15,CT1,15,8:42,1,30,H,"Imitating Rufous Babbler. Partly cloudy, sunny"
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,16,OT2,1,6:43,1,15,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,35,CT3,5,7:24,1,10,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,25,CT2,10,8:05,1,10,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,C_Shade Tea,45,ST3,15,9:15,1,20,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,C_Shade Tea,29,ST2,14,9:08,2,10,S,Entering plot
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,37,CT3,7,7:41,1,30,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,4,OT1,4,7:34,2,30,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,C_Shade Tea,30,ST2,15,9:21,1,10,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,29,OT2,14,8:20,1,20,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,13,OT1,13,8:45,1,20,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,34,OT3,4,7:27,1,30,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,41,CT3,11,8:13,1,20,S,Entering plot
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,C_Shade Tea,31,ST3,1,6:46,1,50,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,C_Shade Tea,34,ST3,4,7:21,1,20,H,Entering plot
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,40,CT3,10,8:05,1,30,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,C_Shade Tea,3,ST1,3,7:00,1,30,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,45,CT3,15,8:50,1,30,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,17,CT2,2,7:07,2,30,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,C_Shade Tea,15,ST1,15,8:41,2,20,S,"Different pair, chased by first pair"
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,24,CT2,9,7:57,2,30,S,Exiting plot
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,28,OT2,13,8:12,1,20,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,37,CT3,7,7:41,1,20,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,41,CT3,11,8:13,2,5,S,Singing
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,31,OT3,1,6:58,1,10,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,40,OT3,10,8:26,1,15,H,Entering plot
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,9,OT1,9,8:11,3,10,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,D_Fragment,12,FR1,12,8:18,3,10,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,11,CT1,11,8:15,1,30,S,Imitating Leafbird & Flowerpecker
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,2,OT1,2,7:17,2,50,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,6,OT1,6,7:48,2,15,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,33,OT3,3,7:20,1,50,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,36,CT3,6,7:33,1,10,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,17,OT2,2,6:51,1,15,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,8,OT1,8,8:03,2,15,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,16,CT2,1,6:57,1,20,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,C_Shade Tea,31,ST3,1,6:46,1,30,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,37,CT3,7,7:41,1,30,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,C_Shade Tea,27,ST2,12,8:47,1,50,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,26,OT2,11,7:58,1,20,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,33,OT3,3,7:20,1,15,H,Entering plot
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,13,CT1,13,8:29,1,20,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,D_Fragment,2,FR1,2,6:53,1,15,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,38,CT3,8,7:48,1,15,H,Possibly same as previous record
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,A_Con Tea,7,CT1,7,7:47,2,15,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,33,OT3,3,7:20,1,15,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,8,OT1,8,8:03,2,20,S,Different pair
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,C_Shade Tea,26,ST2,11,8:36,1,30,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,14,OT1,14,8:53,2,30,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,C_Shade Tea,15,ST1,15,8:41,2,10,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,C_Shade Tea,37,ST3,7,7:48,2,30,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,C_Shade Tea,33,ST3,3,7:08,1,30,H,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,B_Org Tea,23,OT2,8,7:37,1,5,S,
Copsychus saularis,Oriental Magpie-Robin,Invertebrate,D_Fragment,19,FR2,4,7:16,1,15,H,Exiting plot
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,3,CT1,3,7:19,1,15,S,
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,18,CT2,3,7:13,1,50,S,
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,45,OT3,2,8:29,2,30,H,"Flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,37,OT3,7,7:58,1,30,S,Exiting plot
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,22,OT2,7,7:30,6,30,F,"Flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,17,CT2,2,7:07,1,30,S,
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,29,CT2,14,8:35,2,30,S,Entering plot
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,40,CT3,10,8:05,1,20,S,Entering plot. Noise from tea workers
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,3,CT1,3,7:19,2,0,S,
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,22,CT2,7,7:43,3,50,H,Exiting plot
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,35,OT3,5,7:39,1,50,S,
Corvus macrorhynchos,Large-billed Crow,Omnivore,D_Fragment,8,FR1,8,7:46,2,10,F,"Flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,31,CT3,1,6:50,1,20,F,"Flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,32,OT3,2,7:09,1,30,S,
Corvus macrorhynchos,Large-billed Crow,Omnivore,D_Fragment,6,FR1,6,7:26,1,20,H,
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,42,CT3,12,8:21,1,10,S,Squabbling with Mynas
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,18,OT2,3,6:58,1,30,F,"Flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,D_Fragment,41,FR3,11,8:12,1,30,F,"Flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,2,OT1,2,7:17,2,15,F,"Flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,41,OT3,11,8:38,1,20,F,"Flying over canopy, out of plot. Heard"
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,24,CT2,9,7:57,1,30,F,"Flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,4,OT1,4,7:34,1,20,S,Approximation. Probably seen while exiting
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,41,CT3,11,8:13,1,30,F,"Flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,D_Fragment,6,FR1,6,7:26,1,30,F,"Flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,18,OT2,3,6:58,3,30,F,"Entering plot, flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,D_Fragment,31,FR3,1,6:48,1,30,F,Flying through plot. Heard
Corvus macrorhynchos,Large-billed Crow,Omnivore,C_Shade Tea,40,ST3,10,8:18,2,50,F,"Flying over canopy, out of plot. Heard"
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,42,CT3,12,8:21,1,30,S,
Corvus macrorhynchos,Large-billed Crow,Omnivore,C_Shade Tea,41,ST3,11,8:26,1,50,H,
Corvus macrorhynchos,Large-billed Crow,Omnivore,E_Rainforest,24,RF2,9,7:47,2,30,H,Exiting plot
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,5,CT1,5,7:33,1,30,S,Exiting plot
Corvus macrorhynchos,Large-billed Crow,Omnivore,D_Fragment,10,FR1,10,8:03,1,10,F,"Flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,39,OT3,9,8:15,1,10,S,
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,37,OT3,7,7:58,1,20,S,Exiting plot
Corvus macrorhynchos,Large-billed Crow,Omnivore,D_Fragment,14,FR1,14,8:34,2,20,H,
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,41,CT3,11,8:13,2,30,S,
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,20,OT2,5,7:14,1,10,H,Exiting plot
Corvus macrorhynchos,Large-billed Crow,Omnivore,C_Shade Tea,39,ST3,9,8:08,1,30,F,"Flying over canopy, out of plot. Heard"
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,2,OT1,2,7:17,1,30,S,
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,24,OT2,9,7:44,1,10,F,"Flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,19,CT2,4,7:20,1,30,S,Exiting plot
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,1,OT1,1,7:09,2,20,S,
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,29,CT2,14,8:35,1,50,H,
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,27,CT2,12,8:14,1,30,H,
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,17,OT2,2,6:51,5,30,F,"Flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,28,CT2,13,8:28,1,15,S,
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,29,OT2,14,8:20,1,15,S,
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,42,CT3,12,8:21,1,30,S,
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,30,OT2,15,8:29,1,20,H,
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,17,OT2,2,6:51,2,30,F,"Flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,44,OT3,1,8:19,2,50,F,"Exiting plot. Flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,26,CT2,11,8:12,2,30,S,
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,16,CT2,1,6:57,1,30,H,Exiting plot
Corvus macrorhynchos,Large-billed Crow,Omnivore,A_Con Tea,29,CT2,14,8:35,2,30,F,"Flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,D_Fragment,30,FR2,15,8:53,1,30,F,"Flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,23,OT2,8,7:37,2,30,H,
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,37,OT3,7,7:58,1,10,H,Exiting plot
Corvus macrorhynchos,Large-billed Crow,Omnivore,D_Fragment,14,FR1,14,8:34,1,15,S,
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,36,OT3,6,7:48,1,20,F,"Flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,D_Fragment,16,FR2,1,6:42,5,30,S,
Corvus macrorhynchos,Large-billed Crow,Omnivore,D_Fragment,12,FR1,12,8:18,1,10,S,
Corvus macrorhynchos,Large-billed Crow,Omnivore,B_Org Tea,9,OT1,9,8:11,2,50,S,
Corvus macrorhynchos,Large-billed Crow,Omnivore,C_Shade Tea,38,ST3,8,7:57,1,30,F,"Flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,D_Fragment,4,FR1,4,7:08,5,10,F,"Flying over canopy, out of plot"
Corvus macrorhynchos,Large-billed Crow,Omnivore,C_Shade Tea,42,ST3,12,8:37,1,50,H,
Corvus macrorhynchos,Large-billed Crow,Omnivore,D_Fragment,13,FR1,13,8:26,3,10,S,Entering plot
Corvus splendens,House Crow,VertFishScav,B_Org Tea,5,OT1,5,7:41,5,30,F,"Flying over canopy, out of plot"
Corvus splendens,House Crow,VertFishScav,B_Org Tea,6,OT1,6,7:48,1,15,S,
Corvus splendens,House Crow,VertFishScav,B_Org Tea,6,OT1,6,7:48,1,30,S,Exiting plot
Corvus splendens,House Crow,VertFishScav,B_Org Tea,3,OT1,3,7:26,1,10,S,
Corvus splendens,House Crow,VertFishScav,B_Org Tea,2,OT1,2,7:17,1,30,S,
Corvus splendens,House Crow,VertFishScav,B_Org Tea,4,OT1,4,7:34,1,5,F,"Flying over canopy, out of plot"
Corvus splendens,House Crow,VertFishScav,B_Org Tea,5,OT1,5,7:41,1,15,S,
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Invertebrate,E_Rainforest,37,RF3,7,7:27,1,30,H,
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Invertebrate,E_Rainforest,8,RF1,8,7:45,1,15,H,
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Invertebrate,E_Rainforest,20,RF2,5,7:08,1,20,S,
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Invertebrate,E_Rainforest,40,RF3,10,7:53,1,30,H,
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Invertebrate,E_Rainforest,33,RF3,3,6:57,1,20,H,
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Invertebrate,E_Rainforest,44,RF3,14,8:26,1,15,S,
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Invertebrate,E_Rainforest,22,RF2,7,7:25,1,10,H,Entering plot
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Invertebrate,D_Fragment,27,FR2,12,8:30,1,5,S,
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Invertebrate,E_Rainforest,34,RF3,4,7:04,1,15,H,Entering plot
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Invertebrate,E_Rainforest,26,RF2,11,8:07,1,15,H,Entering plot
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Invertebrate,E_Rainforest,14,RF1,14,8:37,1,15,H,
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Invertebrate,D_Fragment,24,FR2,9,8:01,1,5,S,
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,Invertebrate,E_Rainforest,32,RF3,2,6:48,1,10,H,
Cyornis pallidipes,White-bellied Blue-Flycatcher,Invertebrate,E_Rainforest,43,RF3,13,8:19,2,5,S,
Cyornis pallidipes,White-bellied Blue-Flycatcher,Invertebrate,E_Rainforest,41,RF3,11,8:00,1,15,H,
Cyornis pallidipes,White-bellied Blue-Flycatcher,Invertebrate,E_Rainforest,39,RF3,9,7:42,1,30,H,Exiting plot
Cyornis pallidipes,White-bellied Blue-Flycatcher,Invertebrate,E_Rainforest,43,RF3,13,8:19,2,10,H,Entering plot
Cyornis pallidipes,White-bellied Blue-Flycatcher,Invertebrate,D_Fragment,32,FR3,2,6:56,1,5,S,Exiting plot
Cyornis pallidipes,White-bellied Blue-Flycatcher,Invertebrate,E_Rainforest,33,RF3,3,6:57,1,30,H,
Cyornis pallidipes,White-bellied Blue-Flycatcher,Invertebrate,D_Fragment,33,FR3,3,7:05,1,15,H,
Cyornis pallidipes,White-bellied Blue-Flycatcher,Invertebrate,E_Rainforest,40,RF3,10,7:53,2,0,S,"1 male, 1 female"
Cyornis pallidipes,White-bellied Blue-Flycatcher,Invertebrate,E_Rainforest,42,RF3,12,8:11,1,15,H,
Cyornis pallidipes,White-bellied Blue-Flycatcher,Invertebrate,D_Fragment,40,FR3,10,8:03,2,5,S,Male and female seen. Making alarm calls
Dendrocopos nanus,Brown-capped Woodpecker,Invertebrate,C_Shade Tea,12,ST1,12,8:17,1,20,H,
Dendrocopos nanus,Brown-capped Woodpecker,Invertebrate,D_Fragment,5,FR1,5,7:17,1,30,H,
Dendrocopos nanus,Brown-capped Woodpecker,Invertebrate,D_Fragment,4,FR1,4,7:08,1,20,H,
Dendronanthus indicus,Forest Wagtail,Invertebrate,D_Fragment,32,FR3,2,6:56,1,10,S,Exiting plot
Dendronanthus indicus,Forest Wagtail,Invertebrate,D_Fragment,41,FR3,11,8:12,1,10,H,Entering plot
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,E_Rainforest,29,RF2,14,8:35,1,15,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,C_Shade Tea,30,ST2,15,9:21,1,10,S,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,C_Shade Tea,19,ST2,4,7:29,1,0,H,Exiting plot
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,C_Shade Tea,24,ST2,9,8:16,1,10,H,Exiting plot
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,E_Rainforest,30,RF2,15,8:46,1,10,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,E_Rainforest,35,RF3,5,7:12,1,10,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,D_Fragment,23,FR2,8,7:52,1,10,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,D_Fragment,14,FR1,14,8:34,1,10,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,D_Fragment,13,FR1,13,8:26,1,5,H,Entering plot
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,D_Fragment,23,FR2,8,7:52,1,10,H,Exiting plot
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,D_Fragment,20,FR2,5,7:26,1,10,H,Entering plot. Singing
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,E_Rainforest,1,RF1,1,6:47,2,10,H,Entering plot
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,E_Rainforest,19,RF2,4,6:59,2,10,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,E_Rainforest,28,RF2,13,8:25,1,5,S,Exiting plot
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,D_Fragment,43,FR3,13,8:29,1,20,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,C_Shade Tea,42,ST3,12,8:37,1,10,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,D_Fragment,18,FR2,3,7:08,1,10,H,Exiting plot
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,B_Org Tea,38,OT3,8,8:08,1,15,S,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,C_Shade Tea,19,ST2,4,7:29,1,15,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,E_Rainforest,32,RF3,2,6:48,1,15,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,C_Shade Tea,16,ST2,1,6:59,1,5,S,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,C_Shade Tea,18,ST2,3,7:19,1,10,H,Entering plot
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,D_Fragment,39,FR3,9,7:56,1,10,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,D_Fragment,7,FR1,7,7:34,1,10,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,D_Fragment,11,FR1,11,8:10,2,10,S,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,D_Fragment,43,FR3,13,8:29,1,15,H,Singing
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,C_Shade Tea,4,ST1,4,7:09,1,20,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,C_Shade Tea,24,ST2,9,8:16,1,5,S,Exiting plot
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,C_Shade Tea,17,ST2,2,7:11,1,5,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,E_Rainforest,22,RF2,7,7:25,1,15,H,Entering plot. 36th hair pin bend
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,D_Fragment,20,FR2,5,7:26,1,10,S,Exiting plot
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,D_Fragment,41,FR3,11,8:12,1,10,H,Exiting plot
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,D_Fragment,21,FR2,6,7:35,2,15,H,Near bus stop
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,E_Rainforest,17,RF2,2,6:40,1,10,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,D_Fragment,23,FR2,8,7:52,1,15,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,E_Rainforest,41,RF3,11,8:00,1,15,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,C_Shade Tea,2,ST1,2,6:51,1,20,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,D_Fragment,30,FR2,15,8:53,1,10,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,E_Rainforest,3,RF1,3,7:04,1,10,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,D_Fragment,12,FR1,12,8:18,1,5,H,Entering plot
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,C_Shade Tea,6,ST1,6,7:30,1,20,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,D_Fragment,21,FR2,6,7:35,1,10,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,E_Rainforest,34,RF3,4,7:04,1,10,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,C_Shade Tea,30,ST2,15,9:21,2,10,S,Entering plot
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,D_Fragment,4,FR1,4,7:08,1,10,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,E_Rainforest,16,RF2,1,6:30,1,15,H,
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,C_Shade Tea,27,ST2,12,8:47,1,10,S,Entering plot
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,C_Shade Tea,29,ST2,14,9:08,1,10,H,Exiting plot
Dicaeum concolor,Nilgiri Flowerpecker,FruiNect,C_Shade Tea,32,ST3,2,6:59,1,10,H,Entering plot
